Type,Name,Description,CSS Class,Scenario,Priority,Status
Icon,Circle,Icon with circle background,.icon-circle,Data,Extended,Planned
Icon,Card,Icon with card background,.icon-card,Data,Extended,Planned
Icon,Stack,Stacked icons for status indicators,.icon-stack,Data,Extended,Planned
Icon,Badge,Icon with badge notification,.icon-badge,Data,Extended,Planned
Metric,Basic,Single key metric with trend indicator,.metric-card-basic,Dashboard,Core,Planned
Metric,Trend,Metric with trend visualization and mini chart,.metric-card-trend,Dashboard,Core,Planned
Metric,Comparison,Comparative metric with progress bars,.metric-card-comparison,Dashboard,Core,Implemented
Metric,Progress,Progress metric with circle or bar indicator,.metric-card-progress,Dashboard,Core,Implemented
Metric,Distribution,Distribution metric with pie or donut chart,.metric-card-distribution,Dashboard,Core,Planned
Metric,Time Series,Time series metric with line or area chart,.metric-card-timeseries,Dashboard,Core,Planned
Metric,Ranking,Ranking metric with list display and badges,.metric-card-ranking,Dashboard,Core,Planned
Metric,Multi,Multi-metric card with grid layout,.metric-card-multi,Dashboard,Core,Planned
Feedback,Success,Success feedback with illustration and actions,.feedback-success,Feedback,Core,Implemented
Feedback,Error,Error feedback with illustration and retry options,.feedback-error,Feedback,Core,Implemented
Feedback,Warning,Warning feedback with illustration and confirmation,.feedback-warning,Feedback,Core,Implemented
Feedback,Info,Info feedback with illustration and details,.feedback-info,Feedback,Core,Implemented
Feedback,Empty,Empty state feedback with illustration and guidance,.feedback-empty,Feedback,Core,Implemented
Feedback,Confirmation,Confirmation feedback with illustration and actions,.feedback-confirm,Feedback,Core,Planned
Feedback,Loading,Loading feedback with animation and progress,.feedback-loading,Feedback,Core,Implemented
Feedback,Result,Result feedback with status and details,.feedback-result,Feedback,Core,Planned
Empty State,No Data,Empty state for no data scenarios,.empty-state-no-data,Feedback,Core,Planned
Empty State,No Result,Empty state for search no results,.empty-state-no-result,Feedback,Core,Planned
Empty State,First Time,Empty state for first-time users,.empty-state-first-time,Feedback,Core,Planned
Stat,Card,Statistics card with trend and icon,.stat-card,Dashboard,Core,Implemented
Stepper,Horizontal,Horizontal stepper for multi-step processes,.stepper-horizontal,Form,Core,Implemented
Stepper,Vertical,Vertical stepper for multi-step processes,.stepper-vertical,Form,Core,Implemented
Rating,Star,Star rating component with display and input modes,.rating-star,Form,Extended,Implemented
Upload,File,File upload with drag and drop support,.upload-file,Form,Core,Planned
Upload,Image,Image upload with preview and gallery,.upload-image,Form,Core,Planned
Skeleton,Text,Text skeleton for loading placeholders,.skeleton-text,Feedback,Core,Planned
Skeleton,Avatar,Avatar skeleton for loading placeholders,.skeleton-avatar,Feedback,Core,Planned
Skeleton,Image,Image skeleton for loading placeholders,.skeleton-image,Feedback,Core,Planned
Skeleton,Card,Card skeleton for loading placeholders,.skeleton-card,Feedback,Core,Planned
Skeleton,List,List skeleton for loading placeholders,.skeleton-list,Feedback,Core,Planned
Descriptions,Basic,Basic descriptions for key-value pairs,.descriptions-basic,Data,Core,Implemented
Descriptions,Bordered,Bordered descriptions with visual separation,.descriptions-bordered,Data,Core,Implemented
Result,Success,Success result page with illustration and actions,.result-success,Feedback,Core,Implemented
Result,Error,Error result page with illustration and retry,.result-error,Feedback,Core,Implemented
Result,Warning,Warning result page with illustration and details,.result-warning,Feedback,Core,Implemented
Time Picker,12 Hour,12-hour time picker with AM/PM,.time-picker-12h,Form,Extended,Implemented
Time Picker,24 Hour,24-hour time picker with minutes and seconds,.time-picker-24h,Form,Extended,Implemented
Transfer,Basic,Basic transfer with left-right panels,.transfer-basic,Form,Extended,Implemented
Transfer,Search,Transfer with search functionality,.transfer-search,Form,Extended,Implemented
Tree,Basic,Basic tree with expand/collapse,.tree-basic,Data,Extended,Implemented
Tree,Checkbox,Tree with checkbox selection,.tree-checkbox,Data,Extended,Implemented
Notification Center,Basic,Basic notification center with list view,.notification-center-basic,Feedback,Extended,Planned
Notification Center,Dropdown,Dropdown notification center with badge,.notification-center-dropdown,Feedback,Extended,Implemented
User Menu,Dropdown,Dropdown user menu with avatar and actions,.user-menu-dropdown,Navigation,Core,Implemented
User Menu,Full,Full user menu with profile and settings,.user-menu-full,Navigation,Core,Planned
Card,UE-Advanced,Advanced UE card with enhanced visual effects,.card-ue-advanced,UE,Core,Implemented
Card,UE-Data,UE data display card with optimized layout,.card-ue-data,UE,Core,Implemented
Panel,UE-Control,UE control panel for settings and actions,.ue-control-panel,UE,Core,Implemented
Panel,UE-Navigation,UE navigation panel for scene controls,.ue-nav-panel,UE,Core,Implemented
Indicator,UE-Status,UE status indicator for system health,.ue-status-indicator,UE,Core,Implemented
Loader,UE-Loading,UE loading animation with progress,.ue-loader,UE,Core,Implemented
Tooltip,UE-Tooltip,UE-specific tooltip with optimized styling,.ue-tooltip,UE,Core,Implemented
Date Picker,Date,Single date selection with calendar panel,.date-picker,Form,Core,Implemented
Date Picker,Range,Date range selection with dual calendars,.date-picker-range,Form,Core,Implemented
Date Picker,Month,Month selection with month grid,.date-picker-month,Form,Core,Implemented
Date Picker,Year,Year selection with year grid,.date-picker-year,Form,Core,Implemented
Progress,Linear,Linear progress bar with percentage,.progress-linear,Feedback,Core,Implemented
Progress,Circle,Circular progress indicator,.progress-circle,Feedback,Core,Implemented
Progress,Steps,Multi-step progress indicator,.progress-steps,Form,Core,Implemented
Progress,Dashboard,Dashboard-style progress gauge,.progress-dashboard,Dashboard,Core,Implemented
Metric,Trend,Metric card with trend chart,.metric-card-trend,Dashboard,Core,Implemented
