group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:025846afabe8fcccb72921b65b4bddbb,1,Group007,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle004.Rectangle004,/Script/Engine.Actor,025846afabe8fcccb72921b65b4bddbb,4,4,5,0,,composite_assembly,zhhz.exhibit_fixture.model_6f12aaee9e552936,海蓝发光信息牌（EF-19）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-19; datasmith_geometry=6f12aaee9e552936ea2fa5d3448f140c2c8f5aeba8691c5d686ce56d74508e44; handle=243445; selection_source=round2_high_confidence
assembly_signature:31c8f1abd56c9de84744f995e929cbf4,1,Group2136669599,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2106823954.Rectangle2106823954,/Script/Engine.Actor,31c8f1abd56c9de84744f995e929cbf4,23,23,26,0,,composite_assembly,zhhz.exhibit_fixture.model_3b5a403c5180d3d0,黑白组合展台（EF-06）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-06; datasmith_geometry=3b5a403c5180d3d0eaabf17cc93ff192274c925012f14ae86dfb0ba7faab1b35; handle=146339; selection_source=round2_high_confidence
assembly_signature:35f5ce78e27430b1c172492ff215997b,1,Group2136670012,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-104-064.Obj3d66-16049182-104-064,/Script/Engine.Actor,35f5ce78e27430b1c172492ff215997b,148,148,154,0,,composite_assembly,zhhz.furniture.model_61c27ee7c2b1fe3f,浅灰模块沙发-端头B（FUR-06）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-06; datasmith_geometry=61c27ee7c2b1fe3f2ae8dee1d5d3adeface89342a9c3818a00b864863344ed39; handle=237113; selection_source=round2_high_confidence
assembly_signature:3862a4895d0cafc80e0716456b655329,1,Group-402577-668,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-111-855.Obj3d66-402577-111-855,/Script/Engine.Actor,3862a4895d0cafc80e0716456b655329,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_4c6958ddf91d4a68,大型复合展陈装置（EF-08）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-08; datasmith_geometry=4c6958ddf91d4a68324a22e90bb0696d64dbf66ba95e8f9f9bc2e2193d0079d3; handle=534861; selection_source=round2_high_confidence
assembly_signature:38a448d113f8769782794d2c7dc22b2f,1,Group2136670046,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642459.Box2131642459,/Script/Engine.Actor,38a448d113f8769782794d2c7dc22b2f,30,30,33,0,,composite_assembly,zhhz.exhibit_fixture.model_0c479112746dcc7e,白灰模块展台（EF-03）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-03; datasmith_geometry=0c479112746dcc7e6fad7ea3d6a0be529ae4b20975db5a87c319e22a608466a2; handle=246494; selection_source=round2_high_confidence
assembly_signature:39be5d799062f51b22319c0ed6cfd1b0,1,Group2136669647,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642478.Box2131642478,/Script/Engine.Actor,39be5d799062f51b22319c0ed6cfd1b0,8,8,9,0,,composite_assembly,zhhz.exhibit_fixture.model_838ad322811e2f63,八组件白色展台-A（EF-21）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-21; datasmith_geometry=838ad322811e2f63aa311976c76decb202fdb4159e4d23094b35f89a3bdba16a; handle=151606; selection_source=round2_high_confidence
assembly_signature:407c318ed0f6ceed1d63913c3821feb2,1,Group2136669782,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-114-371.Obj3d66-16049182-114-371,/Script/Engine.Actor,407c318ed0f6ceed1d63913c3821feb2,148,148,154,0,,composite_assembly,zhhz.furniture.model_c5aac92959d48644,浅灰模块沙发-中间模块B（FUR-10）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-10; datasmith_geometry=c5aac92959d48644633b1840905af4d4627f89562630fb404eb590c9138c6be7; handle=158105; selection_source=round2_high_confidence
assembly_signature:426036dcdbb49f28bfbb43d8c44e611b,1,Group2136670503,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Star5287.Star5287,/Script/Engine.Actor,426036dcdbb49f28bfbb43d8c44e611b,2,2,3,0,,composite_assembly,zhhz.exhibit_fixture.model_cf1793fb61cb3c4e,双星发光展台-B（EF-29）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-29; datasmith_geometry=cf1793fb61cb3c4e30bbd61c30187ae2bb1534bd801d8025db53dc27a60f5aed; handle=572311; selection_source=round2_high_confidence
assembly_signature:42ca65553324411cca92f6738ef398e2,1,Group2136670339,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643444.Box2131643444,/Script/Engine.Actor,42ca65553324411cca92f6738ef398e2,23,23,26,0,,composite_assembly,zhhz.exhibit_fixture.model_3b5a403c5180d3d0,黑白组合展台（EF-06）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-06; datasmith_geometry=3b5a403c5180d3d0eaabf17cc93ff192274c925012f14ae86dfb0ba7faab1b35; handle=447876; selection_source=round2_high_confidence
assembly_signature:4a7dc67b6c072941666bd23133d53c63,1,Group-402577-662,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-85-888.Obj3d66-402577-85-888,/Script/Engine.Actor,4a7dc67b6c072941666bd23133d53c63,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_d907bfd5c5272a6a,大型复合展陈装置（EF-31）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-31; datasmith_geometry=d907bfd5c5272a6a469f715cf11e044b6b2f2cdd0c0bd5a752ae7f1d4ffb3a77; handle=313966; selection_source=round2_high_confidence
assembly_signature:4cec343c6da0eb763194b601e703ace4,1,Group2136668560,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Arch35_019_076.Arch35_019_076,/Script/Engine.Actor,4cec343c6da0eb763194b601e703ace4,14,14,19,0,,composite_assembly,zhhz.exhibit_fixture.model_628abc0c7e6e42b9,灰白组合展台（EF-17）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-17; datasmith_geometry=628abc0c7e6e42b9fd4811ff1b9e8f7906d8d30692d920f5c05caf5541d44aaa; handle=109714; selection_source=round2_high_confidence
assembly_signature:53aa657e6e3ea0f371cb71cd71ede5c0,1,Group2136669596,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-8261284-194-542.Obj3d66-8261284-194-542,/Script/Engine.Actor,53aa657e6e3ea0f371cb71cd71ede5c0,35,35,38,0,,composite_assembly,zhhz.display_media_device.model_f517c63c5bc5163b,组合媒体展示屏-060（DMD-10）,航空展馆/显示与媒体设备,confirmed,create_experimental,round2 model=DMD-10; datasmith_geometry=f517c63c5bc5163bf160e4c15910ed0ebb3d90bfd6d27c1b3458100a8adad1be; handle=146293; selection_source=round2_high_confidence
assembly_signature:550c536b5c4b1641e546c229cf948a47,1,Group2136670501,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Star5277.Star5277,/Script/Engine.Actor,550c536b5c4b1641e546c229cf948a47,2,2,3,0,,composite_assembly,zhhz.exhibit_fixture.model_59c9f5a990a7b7bb,双星发光展台-A（EF-15）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-15; datasmith_geometry=59c9f5a990a7b7bbcbb4d1ee20d00993ac1395965797b7740ccd554058a5e035; handle=571225; selection_source=round2_high_confidence
assembly_signature:558c88cb6681e67d9bd881306fe8fb53,1,Group2136670013,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-114-374.Obj3d66-16049182-114-374,/Script/Engine.Actor,558c88cb6681e67d9bd881306fe8fb53,148,148,154,0,,composite_assembly,zhhz.furniture.model_00f6e344f4bc728d,浅灰模块沙发-端头A（FUR-01）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-01; datasmith_geometry=00f6e344f4bc728d92502ac91bf8b9e9178dfa6edb1b0ad10228b0202964aef3; handle=237114; selection_source=round2_high_confidence
assembly_signature:60a2c4347d13c1fd52f15cec188e2512,1,100-021,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133396111.Rectangle2133396111,/Script/Engine.Actor,60a2c4347d13c1fd52f15cec188e2512,2,2,3,0,,composite_assembly,zhhz.display_media_device.model_4e7bb02b7b4f1e87,紧凑型数据展示LED屏（DMD-06）,航空展馆/显示与媒体设备,confirmed,create_experimental,round2 model=DMD-06; datasmith_geometry=4e7bb02b7b4f1e87781caaf5a274c5457939488f131c648ca01acd31c56b06f8; handle=146329; selection_source=round2_high_confidence
assembly_signature:60ee95dba1d2e55a287fa553745bed24,1,Group2136670490,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643719.Box2131643719,/Script/Engine.Actor,60ee95dba1d2e55a287fa553745bed24,12,12,14,0,,composite_assembly,zhhz.furniture.model_76d7245c5c5eb6f3,黑边操作台-01（FUR-07）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-07; datasmith_geometry=76d7245c5c5eb6f3d9ae36e364f2513d09e3248e8d4a246007a8684c19292368; handle=552432; selection_source=round2_high_confidence
assembly_signature:6798ddddb5936f902df72ed3b43a3fd7,1,Group-402577-646,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-67-834.Obj3d66-402577-67-834,/Script/Engine.Actor,6798ddddb5936f902df72ed3b43a3fd7,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-22; datasmith_geometry=8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82; handle=312062; selection_source=round2_high_confidence
assembly_signature:68d1cf60134aae5eeafee3b68ba68f22,1,Group-402577-647,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-52-989.Obj3d66-402577-52-989,/Script/Engine.Actor,68d1cf60134aae5eeafee3b68ba68f22,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-22; datasmith_geometry=8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82; handle=312181; selection_source=round2_high_confidence
assembly_signature:74b11278923f196fa051df5c172092d8,1,Group2136669783,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-275-822.Obj3d66-16049182-275-822,/Script/Engine.Actor,74b11278923f196fa051df5c172092d8,148,148,154,0,,composite_assembly,zhhz.furniture.model_1e271d28426dbb11,浅灰模块沙发-中间模块A（FUR-03）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-03; datasmith_geometry=1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee; handle=158106; selection_source=round2_high_confidence
assembly_signature:75bb790414f55370164802393f47c34c,1,Group-402577-656,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-36-620.Obj3d66-402577-36-620,/Script/Engine.Actor,75bb790414f55370164802393f47c34c,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_546b466c8fa0689f,大型复合展陈装置（EF-12）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-12; datasmith_geometry=546b466c8fa0689f3a583b78581ad8a7e07b2662942e4bce1f1f0abf76e528c4; handle=313252; selection_source=round2_high_confidence
assembly_signature:7bd73cf9c0923abc452d00574fdbeead,1,Group-402577-667,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-109-169.Obj3d66-402577-109-169,/Script/Engine.Actor,7bd73cf9c0923abc452d00574fdbeead,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_fc28a7d285b69bba,大型复合展陈装置（EF-32）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-32; datasmith_geometry=fc28a7d285b69bba6c6666be9b48852bae33000884be90d1ea8365237f9fbc59; handle=515874; selection_source=round2_high_confidence
assembly_signature:7caab3a55985ff3bd670e33e51f52043,1,Group-402577-648,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-38-462.Obj3d66-402577-38-462,/Script/Engine.Actor,7caab3a55985ff3bd670e33e51f52043,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-22; datasmith_geometry=8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82; handle=312300; selection_source=round2_high_confidence
assembly_signature:7d4e90c9feaa5461b5b5fcaeabae849a,1,Group-402577-663,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-49-739.Obj3d66-402577-49-739,/Script/Engine.Actor,7d4e90c9feaa5461b5b5fcaeabae849a,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_fc28a7d285b69bba,大型复合展陈装置（EF-32）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-32; datasmith_geometry=fc28a7d285b69bba6c6666be9b48852bae33000884be90d1ea8365237f9fbc59; handle=314085; selection_source=round2_high_confidence
assembly_signature:7d74a4b901fe5d0ec0498e7c786cb52a,1,Group2136670494,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643727.Box2131643727,/Script/Engine.Actor,7d74a4b901fe5d0ec0498e7c786cb52a,12,12,14,0,,composite_assembly,zhhz.furniture.model_08b8830e0759ec98,黑边操作台-03（FUR-02）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-02; datasmith_geometry=08b8830e0759ec98ca747152615c5853cf84ce9e12e4ab1a13c6f9bedd1a1f49; handle=552460; selection_source=round2_high_confidence
assembly_signature:88ed49c08a3ab801a97fc11d1ac2feb1,1,Group2136670040,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/ChamferBox060.ChamferBox060,/Script/Engine.Actor,88ed49c08a3ab801a97fc11d1ac2feb1,2,2,3,0,,composite_assembly,zhhz.exhibit_fixture.model_516560622e254031,白色倒角展台-B（EF-10）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-10; datasmith_geometry=516560622e254031226c9a1380a1faff028d6b1f5530d2892f1f5172ba19e570; handle=243374; selection_source=round2_high_confidence
assembly_signature:8ca26ea1944e4944d2397d33e8d4d594,1,Group2136670512,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Line2144964124.Line2144964124,/Script/Engine.Actor,8ca26ea1944e4944d2397d33e8d4d594,23,23,26,0,,composite_assembly,zhhz.exhibit_fixture.model_59b82b91f1cd460e,灰黑组合展台-B（EF-14）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-14; datasmith_geometry=59b82b91f1cd460ea945e3186ac7fd3c80093405b7fc87a0636851a53304a47f; handle=574812; selection_source=round2_high_confidence
assembly_signature:8def5a97f095d492ad05ca21d93c5319,1,Group2136668721,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box006.Box006,/Script/Engine.Actor,8def5a97f095d492ad05ca21d93c5319,6,6,7,0,,composite_assembly,zhhz.furniture.model_8af3f2d41ac15d21,简式黑边操作台（FUR-08）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-08; datasmith_geometry=8af3f2d41ac15d2179b504b6cdfdceff5d07705b669fe864a35b9d6747d56cae; handle=112572; selection_source=round2_high_confidence
assembly_signature:92f33c30b60b93a67959e1d4f62ef41e,1,SMP-056,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/vm_v2_001_screen058.vm_v2_001_screen058,/Script/Engine.Actor,92f33c30b60b93a67959e1d4f62ef41e,5,5,7,0,,composite_assembly,zhhz.display_media_device.model_2ee1fc469690eb4b,独立媒体展示屏-058（DMD-04）,航空展馆/显示与媒体设备,confirmed,create_experimental,round2 model=DMD-04; datasmith_geometry=2ee1fc469690eb4bcdc62bf8ee9b0c2f82e0414a5b7a19412e190fdf0fff7b95; handle=146247; selection_source=round2_high_confidence
assembly_signature:932657ed2f8ecc7b7ba537d1ff213a64,1,Group2136670452,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Star2319.Star2319,/Script/Engine.Actor,932657ed2f8ecc7b7ba537d1ff213a64,68,68,70,0,,composite_assembly,zhhz.exhibit_fixture.model_4e207aa4d2609660,紫色星形展陈装置（EF-09）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-09; datasmith_geometry=4e207aa4d26096601d357ac5e0ab9bb7ea46f8e28c89f267294f26f356ac6668; handle=515666; selection_source=round2_high_confidence
assembly_signature:95f923121c30b9e5e0be0400c59f20af,1,Group2136669708,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237265_2.Cylinder32237265_2,/Script/Engine.Actor,95f923121c30b9e5e0be0400c59f20af,6,6,10,0,,composite_assembly,zhhz.display_media_device.model_ef3dfa4e2519dec9,数据展示LED屏-05（DMD-09）,航空展馆/显示与媒体设备,confirmed,create_experimental,round2 model=DMD-09; datasmith_geometry=ef3dfa4e2519dec9a96dcd09c3abd0f3660e580e491be15e85d02f706cff838a; handle=155835; selection_source=round2_high_confidence
assembly_signature:9ae766b8b29294ad006c8fa74d8b7665,1,Group2136670125,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-14950725-152-306.Obj3d66-14950725-152-306,/Script/Engine.Actor,9ae766b8b29294ad006c8fa74d8b7665,16,16,18,0,,composite_assembly,zhhz.furniture.model_475c912888eccf1b,蓝色布面展示桌（FUR-05）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-05; datasmith_geometry=475c912888eccf1bddf281cc5fc12f133aca18583a40b09abd335f5a1c88b9ba; handle=279769; selection_source=round2_high_confidence
assembly_signature:9b64bef9ed1c1733b564478299c1be78,1,Group2136669779,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-101-716.Obj3d66-16049182-101-716,/Script/Engine.Actor,9b64bef9ed1c1733b564478299c1be78,148,148,154,0,,composite_assembly,zhhz.furniture.model_1e271d28426dbb11,浅灰模块沙发-中间模块A（FUR-03）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-03; datasmith_geometry=1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee; handle=157490; selection_source=round2_high_confidence
assembly_signature:a67eb08ce478c67c5298ead65f9e2228,1,Group2136669777,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-285-592.Obj3d66-16049182-285-592,/Script/Engine.Actor,a67eb08ce478c67c5298ead65f9e2228,148,148,154,0,,composite_assembly,zhhz.furniture.model_1e271d28426dbb11,浅灰模块沙发-中间模块A（FUR-03）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-03; datasmith_geometry=1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee; handle=157330; selection_source=round2_high_confidence
assembly_signature:a931549dfbd29510c3f532db530a1872,1,Group2136670500,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Star5275.Star5275,/Script/Engine.Actor,a931549dfbd29510c3f532db530a1872,2,2,3,0,,composite_assembly,zhhz.exhibit_fixture.model_cf1793fb61cb3c4e,双星发光展台-B（EF-29）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-29; datasmith_geometry=cf1793fb61cb3c4e30bbd61c30187ae2bb1534bd801d8025db53dc27a60f5aed; handle=571224; selection_source=round2_high_confidence
